gt_team,opponent,type,player,player_position,player_pass_block_grade,opp_ed_pass_rush_grade,opp_ed_name,opp_ed_snaps,delta
GA TECH,BOSTON COL,vs_defense_avg,Ethan Mackenny,OT,72.5,67.97,,,4.53
GA TECH,BOSTON COL,vs_ed_rank_1,Ethan Mackenny,OT,72.5,76.1,Quintayvious Hutchins,255.0,-3.6
GA TECH,BOSTON COL,vs_ed_rank_2,Ethan Mackenny,OT,72.5,67.6,Edwin Kolenge,244.0,4.9
GA TECH,BOSTON COL,vs_ed_rank_3,Ethan Mackenny,OT,72.5,66.8,Favor Bate,195.0,5.7
GA TECH,BOSTON COL,vs_ed_rank_4,Ethan Mackenny,OT,72.5,55.2,E'Lla Boykin,116.0,17.3
GA TECH,BOSTON COL,vs_ed_rank_5,Ethan Mackenny,OT,72.5,62.6,Israel Oladipupo,51.0,9.9
GA TECH,BOSTON COL,vs_defense_avg,Malachi Carney,OT,67.9,67.97,,,-0.07
GA TECH,BOSTON COL,vs_ed_rank_1,Malachi Carney,OT,67.9,76.1,Quintayvious Hutchins,255.0,-8.2
GA TECH,BOSTON COL,vs_ed_rank_2,Malachi Carney,OT,67.9,67.6,Edwin Kolenge,244.0,0.3
GA TECH,BOSTON COL,vs_ed_rank_3,Malachi Carney,OT,67.9,66.8,Favor Bate,195.0,1.1
GA TECH,BOSTON COL,vs_ed_rank_4,Malachi Carney,OT,67.9,55.2,E'Lla Boykin,116.0,12.7
GA TECH,BOSTON COL,vs_ed_rank_5,Malachi Carney,OT,67.9,62.6,Israel Oladipupo,51.0,5.3
GA TECH,NC STATE,vs_defense_avg,Ethan Mackenny,OT,72.5,72.88,,,-0.38
GA TECH,NC STATE,vs_ed_rank_1,Ethan Mackenny,OT,72.5,78.2,Sabastian Harsh,348.0,-5.7
GA TECH,NC STATE,vs_ed_rank_2,Ethan Mackenny,OT,72.5,70.7,Cian Slone,324.0,1.8
GA TECH,NC STATE,vs_ed_rank_3,Ethan Mackenny,OT,72.5,70.6,Tra Thomas,177.0,1.9
GA TECH,NC STATE,vs_ed_rank_4,Ethan Mackenny,OT,72.5,65.8,Chase Bond,105.0,6.7
GA TECH,NC STATE,vs_defense_avg,Malachi Carney,OT,67.9,72.88,,,-4.98
GA TECH,NC STATE,vs_ed_rank_1,Malachi Carney,OT,67.9,78.2,Sabastian Harsh,348.0,-10.3
GA TECH,NC STATE,vs_ed_rank_2,Malachi Carney,OT,67.9,70.7,Cian Slone,324.0,-2.8
GA TECH,NC STATE,vs_ed_rank_3,Malachi Carney,OT,67.9,70.6,Tra Thomas,177.0,-2.7
GA TECH,NC STATE,vs_ed_rank_4,Malachi Carney,OT,67.9,65.8,Chase Bond,105.0,2.1
GA TECH,GEORGIA,vs_defense_avg,Ethan Mackenny,OT,72.5,57.38,,,15.12
GA TECH,GEORGIA,vs_ed_rank_1,Ethan Mackenny,OT,72.5,57.6,Gabe Harris Jr.,258.0,14.9
GA TECH,GEORGIA,vs_ed_rank_2,Ethan Mackenny,OT,72.5,56.0,Quintavius Johnson,255.0,16.5
GA TECH,GEORGIA,vs_ed_rank_3,Ethan Mackenny,OT,72.5,53.2,Joseph Jonah-Ajonye,161.0,19.3
GA TECH,GEORGIA,vs_ed_rank_4,Ethan Mackenny,OT,72.5,67.7,Kris Jones,78.0,4.8
GA TECH,GEORGIA,vs_ed_rank_5,Ethan Mackenny,OT,72.5,60.0,Elo Modozie,73.0,12.5
GA TECH,GEORGIA,vs_ed_rank_6,Ethan Mackenny,OT,72.5,56.9,JJ Hanne,66.0,15.6
GA TECH,GEORGIA,vs_defense_avg,Malachi Carney,OT,67.9,57.38,,,10.52
GA TECH,GEORGIA,vs_ed_rank_1,Malachi Carney,OT,67.9,57.6,Gabe Harris Jr.,258.0,10.3
GA TECH,GEORGIA,vs_ed_rank_2,Malachi Carney,OT,67.9,56.0,Quintavius Johnson,255.0,11.9
GA TECH,GEORGIA,vs_ed_rank_3,Malachi Carney,OT,67.9,53.2,Joseph Jonah-Ajonye,161.0,14.7
GA TECH,GEORGIA,vs_ed_rank_4,Malachi Carney,OT,67.9,67.7,Kris Jones,78.0,0.2
GA TECH,GEORGIA,vs_ed_rank_5,Malachi Carney,OT,67.9,60.0,Elo Modozie,73.0,7.9
GA TECH,GEORGIA,vs_ed_rank_6,Malachi Carney,OT,67.9,56.9,JJ Hanne,66.0,11.0
GA TECH,PITTSBURGH,vs_defense_avg,Ethan Mackenny,OT,72.5,66.27,,,6.23
GA TECH,PITTSBURGH,vs_ed_rank_1,Ethan Mackenny,OT,72.5,65.5,Jimmy Scott,355.0,7.0
GA TECH,PITTSBURGH,vs_ed_rank_2,Ethan Mackenny,OT,72.5,65.5,Isaiah Neal,252.0,7.0
GA TECH,PITTSBURGH,vs_ed_rank_3,Ethan Mackenny,OT,72.5,70.8,Blaine Spires,153.0,1.7
GA TECH,PITTSBURGH,vs_ed_rank_4,Ethan Mackenny,OT,72.5,68.1,Joey Zelinsky,113.0,4.4
GA TECH,PITTSBURGH,vs_ed_rank_5,Ethan Mackenny,OT,72.5,49.9,Nate Temple,103.0,22.6
GA TECH,PITTSBURGH,vs_ed_rank_6,Ethan Mackenny,OT,72.5,79.5,Zach Crothers,95.0,-7.0
GA TECH,PITTSBURGH,vs_defense_avg,Malachi Carney,OT,67.9,66.27,,,1.63
GA TECH,PITTSBURGH,vs_ed_rank_1,Malachi Carney,OT,67.9,65.5,Jimmy Scott,355.0,2.4
GA TECH,PITTSBURGH,vs_ed_rank_2,Malachi Carney,OT,67.9,65.5,Isaiah Neal,252.0,2.4
GA TECH,PITTSBURGH,vs_ed_rank_3,Malachi Carney,OT,67.9,70.8,Blaine Spires,153.0,-2.9
GA TECH,PITTSBURGH,vs_ed_rank_4,Malachi Carney,OT,67.9,68.1,Joey Zelinsky,113.0,-0.2
GA TECH,PITTSBURGH,vs_ed_rank_5,Malachi Carney,OT,67.9,49.9,Nate Temple,103.0,18.0
GA TECH,PITTSBURGH,vs_ed_rank_6,Malachi Carney,OT,67.9,79.5,Zach Crothers,95.0,-11.6
GA TECH,SYRACUSE,vs_defense_avg,Ethan Mackenny,OT,72.5,65.25,,,7.25
GA TECH,SYRACUSE,vs_ed_rank_1,Ethan Mackenny,OT,72.5,66.6,David Reese,351.0,5.9
GA TECH,SYRACUSE,vs_ed_rank_2,Ethan Mackenny,OT,72.5,57.3,Denis Jaquez Jr.,277.0,15.2
GA TECH,SYRACUSE,vs_ed_rank_3,Ethan Mackenny,OT,72.5,73.0,David Omopariola,173.0,-0.5
GA TECH,SYRACUSE,vs_ed_rank_4,Ethan Mackenny,OT,72.5,68.2,Jamie Tremble,129.0,4.3
GA TECH,SYRACUSE,vs_ed_rank_5,Ethan Mackenny,OT,72.5,65.3,Chase Simmons,93.0,7.2
GA TECH,SYRACUSE,vs_defense_avg,Malachi Carney,OT,67.9,65.25,,,2.65
GA TECH,SYRACUSE,vs_ed_rank_1,Malachi Carney,OT,67.9,66.6,David Reese,351.0,1.3
GA TECH,SYRACUSE,vs_ed_rank_2,Malachi Carney,OT,67.9,57.3,Denis Jaquez Jr.,277.0,10.6
GA TECH,SYRACUSE,vs_ed_rank_3,Malachi Carney,OT,67.9,73.0,David Omopariola,173.0,-5.1
GA TECH,SYRACUSE,vs_ed_rank_4,Malachi Carney,OT,67.9,68.2,Jamie Tremble,129.0,-0.3
GA TECH,SYRACUSE,vs_ed_rank_5,Malachi Carney,OT,67.9,65.3,Chase Simmons,93.0,2.6
