player,position,team_name,opponent_team,attempts,GT_run_grade,opp_lb_run_def_grade_w,delta_rb_minus_oppLB,lb_count
Haynes King,QB,GA TECH,Boston Col,101,73.8,57.84787798408488,15.952122015915116,4
Haynes King,QB,GA TECH,Syracuse,101,73.8,68.3909978308026,5.409002169197393,5
Haynes King,QB,GA TECH,NC State,101,73.8,73.08779761904762,0.7122023809523768,4
Haynes King,QB,GA TECH,Georgia,101,73.8,76.40361809045227,-2.6036180904522723,5
Haynes King,QB,GA TECH,Pittsburgh,101,73.8,86.30666204024982,-12.506662040249822,5
Jamal Haynes,HB,GA TECH,Boston Col,81,73.1,57.84787798408488,15.252122015915113,4
Jamal Haynes,HB,GA TECH,Syracuse,81,73.1,68.3909978308026,4.70900216919739,5
Jamal Haynes,HB,GA TECH,NC State,81,73.1,73.08779761904762,0.012202380952373915,4
Jamal Haynes,HB,GA TECH,Georgia,81,73.1,76.40361809045227,-3.303618090452275,5
Jamal Haynes,HB,GA TECH,Pittsburgh,81,73.1,86.30666204024982,-13.206662040249824,5
Malachi Hosley,HB,GA TECH,Boston Col,53,82.3,57.84787798408488,24.452122015915116,4
Malachi Hosley,HB,GA TECH,Syracuse,53,82.3,68.3909978308026,13.909002169197393,5
Malachi Hosley,HB,GA TECH,NC State,53,82.3,73.08779761904762,9.212202380952377,4
Malachi Hosley,HB,GA TECH,Georgia,53,82.3,76.40361809045227,5.896381909547728,5
Malachi Hosley,HB,GA TECH,Pittsburgh,53,82.3,86.30666204024982,-4.006662040249822,5
